"category","bagOfWords"
"COLD REMEDIES-ADULT","alivio adecuado aquí mismo. original precrnon alergias claritin tabletas liqui-gels reditabs, pqte. niños, reg. non-drowsy door& outdoor allergies new-now bottle indoor allergy congestion tablets %tenderstm"
"COLD REMEDIES-ADULT","afrin severe congestion original fast powerful fast,powerful allergles reticy reliet stength acon spray nasal reg."
"COLD REMEDIES-ADULT","mucinexdm mucinex sinus-max severe congestion relief new! hour controls cough immediato extended release iouid filed capsules pqte reg."
"COLD REMEDIES-ADULT","full prescription strength walgreens allergy nondrowsy hour reiefw wal-itin loratadine nasal spray pseudoephedrine sulfate, tended-release tablet alivio alergias walgreens. wal-fex wal-itin, wal-zyr selectos. reg. fiuticasone propionate symptom reliever elucocorticoid) extended release tablets non-drowsy indoor &outooor allergies sout reief itchy exende when taken directed drug facts panel"
"STOMACH REMEDIES","maximum strength zantac pepcid prevents&rejeves eartburn just tablet tablets compra leva cuidado digestivo lactaid pqte zantac, pqte. imodium, complete, reg."
"TOOTHPASTE","colgate totals clean mint caja"
"ALL PURPOSE CLEANER","mistolin variedad reg. nist"
"BATH SOAP","jabón protex variedad pate reg."
"DISHWASHING DETERGENT","palmolive líquido variedad reg. kitls bacteria* attacks palmi antiba"
"DETERGENT","ariel polvo regular pqte reg. iariel"
"FABRIC SOFTENERS","suavizador downy clean breeze april fresh reg."
"BATHROOM CLEANER","tilexmildew remover regular bathroom cleaner reg. cloro clorox"
"DOG FOOD","pedigree variedad reg. adulto"
"DOG FOOD","pedigree variedad lata chunky caouno dinne chopped round dinner with"
"CAT FOOD","whiskas variedad reg."
"ANALGESIC-ADULT","ompra leva bayer dose safety coated aspirin enteric alivio dolo productos selectos pqte aleve selectos, pqte. reg. /aleve"
"ANALGESIC-ADULT","pain reliever acetaminophenrsee alivio dolor extra strength walgreens cápsulas tabletas pqte reg."
"ANALGESIC-ADULT","advil tabletas gelcaps pate reg. caplets pqte. buorpfen taets pain reliever fever reducer onsaid) tablets advilpm"
"ANALGESIC-ADULT","extra panadol acetaminophen pain helever caffeine refievee aled alivio dolor pqte reg. caplets"
"ANALGESIC-ADULT","extra strength panadol acetaminophen alivio dolor pqte. reg. phenhydramine caplets"
"TEA","verde organic ayuda acelerar metabolismo reduce riesgo cáncer excelente antioxidante. jasmine green energy. mejora funcionamiento cerebro. precio regular $$especial vita card"
"PAIN RELIEF PATCHES","newmax strength lidocaine cyhot patch compra alivio dolor arnicare roll-on, pqte crema, gel, roll-on spray biofreeze, reg."
"MARGARINE &amp; BUTTER","mantequilla clarificada proteína conserva contiene grasas saturadas propiedades medicinales. precio regular $new organi puitly gums ghee rified butter icacard$especial"
"ANALGESIC-ADULT","extra strensth tylenol acetaminopheniphethyramite caplets pain reliever kighttine sleep ylenol adults acetaminophen strength fever reducer idrelease gels elcaps each aliviar dolor tabletas strength, pqte. reg. artritis, extended release rapid release,"
"ANALGESIC-CHILDREN","compra leva combina gusto productos arca walgreens ¡cientos artículos salud bienestar válido tienda abril busca marca ahorra incluidos! omeprazole value size lsopropy delayed release tablets reducer infants nicotin mini pain fever glucosamine chondroitin flexible fabric ltch relief bandages lozenge alcohol night pack seals sides first antiseptic ketetifeo tomacate triple strength smoking pides protect aginst cold oint health hours sugar free made with naturai rubiber late suppy deary adhesive assorted sizes"
"ALL PURPOSE CLEANER","tuff stuff mutipurpose foam cleaner onzas scuff $purpose tienda"
"ALL PURPOSE CLEANER","tuff stuff stain remover onzas $por tienda"
"ALL PURPOSE CLEANER","formula hultipurpose alón $ultipurposs advanced tienda"
"AIR FRESHENERS","pinos olor tienda"
"BODY WASH","olay artículos baño espuma, ultra mosture"
"FISH OIL/OMEGA 3","omega reduce colesterol malo .ayuda sistema cardiovascular. .previene enfermedades neurológicas. precio regular $especial vita card medical heps lower pressure softgels"
"SHAMPOO","compra gratis combina gusto cuidado cabello incluye champús acondicionadores, estilizadores, tintes, accesorios válida tienda abril tarjeta. pantene carnicer minu mini head& nutrisse arnier cantu"
"COLD REMEDIES-ADULT","expectoplex alivia sintomas influenza catarro fortalece sistema inmunológico ayuda eliminar flema tos. precio regular $especial vita card ectoplex"
"BODY WASH","/compra dto* dove $dove sensitive skin recompensa gofresh pts. bono care baby comprar artículos baño cuidado bebés selectos. reg. /dove lean"
"ADULT VITAMINS","multivitamina fórmula vitaminas minerales aumenta energía. fortalece sistema inmunológico. precio regular $especial vita card revive mega-mul tabletas/tablets"
"BODY WASH","ahorra sconsumidor: límite cupón compra productos mencionados quedará anulado reproducido transferido utilizado reventa comprar jabón líquido dónde esté prohibido/regulado ley. consumidor paga impuesto venta. redimible participantes. válido puerto rico. retailer: unilever, inc. marketing services, paso, reembolsará manejo, cumple políticas reem- bolso disponibles solicitud. cumpla indicado fraude. variedad dove, dove men+care caress. +care gunilever p.r. tdove. fabricante abril mayo busca calendario visitas www.walgreens.pr"
"COLD CUTS","xawaltney jamones variedad"
"FROZEN PIZZA","crispy crug pepperon pizza rispy crust luxe variedad empaque"
"FROZEN POTATOES","mity fresh papas economicas"
"JUICE-READY TO DRINK","xbebidas plus variedad"
"SOFRITO &amp; AJO MOLIDO","huerto ceritel sofrito sofr verde rojo reg."
"FROZEN VEGETABLES","mity fresh mixed negetables broccoli cuts xity mixedv maiz oriental florent vegetales variedad reg.$"
"SOFRITO &amp; AJO MOLIDO","huert huerto perejil cilantro fresco"
"LUNCHABLES","bologna xarmour loncheras variedad"
"FOOD STORAGE","frigidaire miczowave rice cooker arrocera microondas $refpor tienda"
"COLD CUTS","epperoneppeionepperor armour pepperoni shingle"
"CHEESE-CREAM","brookfield plain $brookfield whipp cream cheese"
"FOOD STORAGE","varie container envase redondo microondas $refpor tienda"
"MOUTHWASH","obtenga listerine eady! tabs dcto productos seleccionados. night reset"
"CHEESE-SLICES","brookfield american singles melties swiss xbrookfield queso slice americano"
"FRO-MEATBALLS","espec ecial armour beef meatballs abest $armour albóndigas variedad reg."
"TOOTHPASTE","obtenga dcto colgate productos individuales ctos."
"MARGARINE &amp; BUTTER","brookfiele $argarina brookfield"
"CHEESE-OTHERS","brookfield mexica mbrookfield molidos reg$"
"TOOTHBRUSH","oral-b crest cuidado bucal seleccionado reg. obtenga oral puusar whte recompensas extrabucks white familia tarjeta."
"CHEESE-CREAM","grookfield brookfiell brookfield queso crema"
"MARGARINE &amp; BUTTER","brookfield premiua margarine xbrookfield margarina qtrs"
"BLADES/RAZOR","schick xtreme xtremepivot ball pivst xtremepivotball navajas afeitar cartuchos"
"FEMININE PROTECTION","maxi pads tampons obtenga dcto health cuidado femenino seleccionado."
"BLADES/RAZOR","schick xtremeen recompensas extrabucks® comprar cualquiera productos mostrados continuación extrabucks familia tarjeta. navajas afeitar desechables (excluye xtreme hydro un.)."
"BLADES/RAZOR","gillette venus navaja afeitar (excluye desechables tamaños muestraviaje) obtenga recompensas extrabucks extrabucks® familia tarjeta."
"DEODORANT","dove obtenga dcto advanced care desodorante."
"MOUTHWASH","cuidado ncalthie mouth liste oral nigi alcohol free health flossacton germ kill healthier multi-protection clean mint removes comport value radiant dwhite pack! original cresfodent prohealt crest white oral-b, pro-health individuales, cartuchos obtenga dcto. fixodent productos"
"DEODORANT","pack gilletfe obtenga dcto secret gillette spice desodorantes paq. clinical strength"
"TOOTHPASTE","sensodyne intensive enamel toothpaste sensitive teethand caity prevention extra fresh actively repairs weakened namel repair eeth ganty clean mint netwt paradontax pronamel pasta dental activamente repara esmalte debilitado \"está comprobado leva minerales profundo superficie ayudar reparar áreas debilitadas ácidos dientes fuertes protegidos. marcas registradas propiedad licenciadas grupo compañías gsk. rupo licenciądor."
"DEODORANT","speed stick lady desodorantes individuales pague recompensas próxima compra fres extrabucks obtenerlo fresh después extrabuckss familia tarjeta.()"
"BLADES/RAZOR","gillette venus cartuchos (excluye desechables tamaños muestra/viaje) reg. enusy obtenga recompensas extrabucks soferta familia tarjeta."
"GRAINS","gova habichuelas goya variédad lata reg.$small white kidney beans colorada mipia premium prie 'excluye habas lentejas, romanas, aluviasy frijoles verdes"
"TOMATO SAUCE","gova salsa tomate goya lata reg. stomat tomato sauce spanish style estilo esparol"
"SPAGHETTI SAUCE","sasa spaghetimi gente tradicional envde reg.satar allan"
"GRAINS","coloso gandules verdes lata reg. $adules andules verde reen pigeon peas"
"MEXICAN FOOD","shells paso cajia sc.u c.u. taco"
"RICE","arroz goya pqte gova"
"TEQUILA","tequila patrón silver méxico reg. $ahorra"
"PASTA","pasta seca allegra spaquetti coditos angel hair,cut zitr,rigatoni, shells,penne rigate, rotini linquine pate regc"
"MEXICAN FOOD","taco sauce paso envde reg.$c.u."
"SOUPS","sopas campbell' frenchonion lata reg.$cu. campbisll campbol onion"
"PIMIENTOS ENLATADOS","moro pimientos enteros pimiento morrón lata reg.$cu"
"OIL","cooking spray variedad envde reg.$pam butter riginal incluye orgánicos"
"SEASONINGS","sazón goya culantro achiote reqularo azafrán caja sobres sazónçova azafransazónçova oripnal"
"TUNA","chunk tuna water coloso lata reg. $atún trozos agua atún aguaa"
"MAYONNAISE","duke's mayonnaise reqular lightenvde reg.$cu. mayonnais"
"ADOBO","sazón completo badia envde reg.$cu. seasoni complet"
"MILK","leche exeaporada suiza envde regc evoa"
"RICE","arroz goya fardo pate reg. gova *venta exclusiva faldo"
"FROZEN SEAFOOD","merluza ruedas pesca china pate reg."
"FROZEN PIZZA","pizza deluxe variedad caja reg. $c.u."
"OIL","aceite gente maiz canola reg."
"SOFT DRINKS","kola reg."
"TOMATO SAUCE","salsa tomate goya: lata reg. c.u.: gova tomato sauce xaish style estilo espabd"
"MILK","leche evaporada: suiza: suiza reg. $evaporaada vaporada"
"OLIVE OIL","aceite oliva betis puro light svt* lata reg. $c/u"
"ICE CREAM","cream mantecado nestle variedad $cream creamm"
"BREAD","mgente club gente integral blanco pqte reg. $c.u. andwi fresqui sandwich fresquiito! entegral ntegral blanc"
"ICE CREAM","drum cone nestle caja $sms vanila vanilla"
"ICE CREAM","nestle multi-pack crunch eskimo: caja"
"ICE CREAM","mantecado nestle lactose free reg. $vanillae chocolat vanilla checolate"
"FROZEN PIZZA","pizza deluxe variedad caja reg. $c.u. .pizza"
"FROZEN VEGETABLES","egetales mity fresh bolsa reg. $c.u.; green peas"
"CHEESE-SLICES","alupak value pack sandwich wilson's american swiss pqte reg. $alupak single slices"
"FROZEN VEGETABLES","mini corn garden foods pqte ears reg. $c.u. arden mind oods"
"HAMBURGERS","beef patties grandote caja reg. $c.u. pattes"
"FROZEN POTATOES","golden phoenix french fries shoestring straigt bolsa reg. $c.u."
"CHEESE-OTHERS","queso rallado nufarm variedad bolsa reg. $c.u.;"
"COLD CUTS","jamones smithfield bowls cooked honey turkey breast reg. $smithfield"
"FROZEN POTATOES","french fries aviko straight pqte reg. $french friesaviko papas fritas"
"JUICE-READY TO DRINK","bebidas monjtas variedad regular light reg. $c.u."
"COLD CUTS","jamones numeat cooked oven roasted turkey breast reg. $c.u. east"
"JUICE-READY TO DRINK","bebidas home maker variedad reg."
"CHEESE-OTHERS","queso papa nufarm pqte reg. $c.u."
"JUICE-READY TO DRINK","bebidas golden supreme variedad reg."
"FRITURAS CONGELADAS","bnauelas croquetas antonio ricardo atún camarones, pulpobacalao bolsade reg."
"ADULT VITAMINS","centrum® +ratis $everyday value $second bottle centrum tablets adults"
"ANALGESIC-ADULT","$advilpm advil® caplets $buprofen diphenhydramine citrate, pain reliever (nsaid nighttime sleep-aid coated"
"COLD REMEDIES-ADULT","robitussinrobitussin $c/u sugar-free cough+chest congestion congestiondm robitussin® sugar free reg. controis caugh"
"VITAMIN C","emergen-c super orange tangerine raspberry $c/u $emergen estontia vita vitamin dietary suppliemment"
"ANALGESIC-ADULT","advil lbuprofen tablets pain reliever/fever reducer (nsaid) advi tablets, reliever/ fever +free coated ibuprofen caplets advil® bono +advil® caplet $c/u"
"PASTA","pasta orgánica variedad sanic rigetoniionaturae reg. $ahorrac"
"SPAGHETTI SAUCE","salsa pasta variedad victoria reg. $ahorra"
"JUICE-READY TO DRINK","teses frim$variedad tazo tazg reg. $ahorrapraébalo fresimart"
"PANCAKE MIXES","pancake waffle keto birch bender's reg. $ahorra $keto"
"DISHWASHING DETERGENT","líquido fregar clorox reg."
"BREAD","brown white rice bread ener-g reg. $ahorra"
"COOKIES/CRACKERS","galletas variedad kinnikinnick k-toos reg. $ahorra"
